intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
45,10,3369448730592,292,-33,1.292,0.065815374,1.2903007,-0.007508993
11,11,3369448730592,12,-614,1.304,0.0027153813,1.2964973,-0.13965455
10,12,3369448732896,572,-533,1.3080001,0.12980025,1.2958537,-0.121570855
54,13,3369448732896,12,133,1.2800001,0.0026800982,1.2796508,0.029776819
19,14,3369448735200,572,66,1.34,0.13354483,1.3332376,0.015599052
10,15,3369448735200,12,-400,1.304,0.0027244363,1.3008207,-0.09096244
19,16,3369448737504,292,-466,1.2720001,0.06458282,1.2661366,-0.10349562
63,17,3369448737504,35732,166,1.3280001,-0.0620685,1.3259863,0.038632233
30,18,3369448739808,292,100,1.276,0.06499153,1.2741493,0.02226927
6,19,3369448739808,35732,-366,1.424,-0.066447236,1.4195304,-0.09107554
20,20,3369448742112,572,-333,1.32,0.131338,1.3112059,-0.07674351
71,21,3369448742112,12,333,1.1960001,0.0025006575,1.1939744,0.06953428
100,22,3369448744416,292,233,1.304,0.06637272,1.3012275,0.05308229
12,23,3369448744416,12,-266,1.292,0.0027030255,1.2905978,-0.060118213
14,24,3369448746720,292,-300,1.2880001,0.065522805,1.284565,-0.06740872
38,25,3369448746720,12,700,1.2080001,0.0025111688,1.1989932,0.14721818
58,26,3369448749024,292,466,1.32,0.0670199,1.3139154,0.10740111
32,27,3369448749024,35732,-233,1.3440001,-0.06279082,1.3414173,-0.054710586
86,28,3369448751328,572,-200,1.296,0.12908983,1.2887615,-0.045229748
71,29,3369448751328,12,1500,1.3080001,0.0026461217,1.2634283,0.33853534
44,30,3369448753632,292,1033,1.2520001,0.06274446,1.2300959,0.22456984
69,31,3369448753632,12,-133,1.2720001,0.0026633476,1.271653,-0.029590713
18,0,3369448774368,312,-2500,2.048,0.10102363,1.8533671,-0.86552227
58,1,3369448774368,35752,-100,1.3240001,-0.057281725,1.3225586,-0.023106987
100,2,3369448776672,312,-166,1.284,0.06985516,1.2815542,-0.03735225
11,3,3369448776672,32,-1563,3.0600002,0.016457485,2.9466708,-0.8249006
11,4,3369448778976,312,-1131,1.284,0.06852761,1.2571992,-0.2518146
68,5,3369448778976,32,0,1.284,0.0071711717,1.28398,0
10,6,3369448781280,592,-66,1.34,0.13819788,1.3327633,-0.015599052
8,7,3369448781280,32,-884,1.312,0.0072404523,1.2963845,-0.20169044
18,8,3369448783584,312,-725,1.276,0.06889345,1.2639108,-0.16111825
45,9,3369448783584,35752,33,1.3240001,-0.05728948,1.3227378,0.0076949745
47,10,3369448785888,312,-33,1.296,0.07053667,1.2940573,-0.0075322404
12,11,3369448785888,32,-614,1.292,0.007174351,1.2845492,-0.13836938
10,12,3369448788192,592,-533,1.312,0.13473359,1.299354,-0.121942624
57,13,3369448788192,32,133,1.2800001,0.0071468973,1.2796336,0.029776819
16,14,3369448790496,592,66,1.3360001,0.13778536,1.328785,0.015552488
11,15,3369448790496,32,-400,1.304,0.0072651315,1.3008033,-0.09096244
20,16,3369448792800,312,-466,1.268,0.06878508,1.2619226,-0.10317016
43,17,3369448792800,35752,166,1.3240001,-0.0572662,1.3222003,0.038515873
30,18,3369448795104,312,100,1.2800001,0.069656424,1.2779082,0.022339081
7,19,3369448795104,35752,-366,1.432,-0.06183682,1.4277297,-0.0915872
19,20,3369448797408,592,-333,1.3280001,0.1367379,1.3186833,-0.07720862
69,21,3369448797408,32,333,1.228,0.0068468093,1.2259036,0.07139472
52,22,3369448799712,312,233,1.3080001,0.07113198,1.3049787,0.053245123
12,23,3369448799712,32,-266,1.292,0.0072080363,1.2905805,-0.060118213
14,24,3369448802016,312,-300,1.292,0.070223786,1.288317,-0.067618065
40,25,3369448802016,32,700,1.2080001,0.006696421,1.1989771,0.14721818
58,26,3369448804320,312,466,1.3240001,0.07182291,1.3176544,0.107726574
32,27,3369448804320,35752,-233,1.3360001,-0.057761777,1.3336425,-0.05438493
64,28,3369448806624,592,-200,1.304,0.1344123,1.2962556,-0.045508943
73,29,3369448806624,32,1500,1.3080001,0.0070562935,1.2634113,0.33853534
48,30,3369448808928,312,1033,1.2520001,0.06703791,1.2298694,0.22456984
70,31,3369448808928,32,-133,1.268,0.007079895,1.2676371,-0.029497659
9,0,3369448829664,332,-2500,2.048,0.10749247,1.8530031,-0.86552227
54,1,3369448829664,35772,-100,1.3160001,-0.052346215,1.3147581,-0.022967368
100,2,3369448831968,332,-166,1.292,0.0747913,1.2892858,-0.03758497
6,3,3369448831968,52,-1563,3.0640001,0.026778141,2.950447,-0.82597893
11,4,3369448834272,332,-1131,1.284,0.072915636,1.2569523,-0.2518146
67,5,3369448834272,52,0,1.284,0.011653054,1.2839471,0
100,6,3369448836576,612,-66,1.34,0.14284925,1.3322728,-0.015599052
8,7,3369448836576,52,-884,1.292,0.01158628,1.2765899,-0.19861588
18,8,3369448838880,332,-725,1.276,0.0733049,1.2636626,-0.16111825
47,9,3369448838880,35772,33,1.32,-0.05251243,1.3189328,0.0076717264
44,10,3369448841184,332,-33,1.292,0.0748217,1.2898098,-0.007508993
12,11,3369448841184,52,-614,1.2800001,0.0115499385,1.2725857,-0.13708423
10,12,3369448843488,612,-533,1.3160001,0.13969296,1.3028358,-0.12231441
64,13,3369448843488,52,133,1.2720001,0.011541024,1.2716036,0.029590713
16,14,3369448845792,612,66,1.34,0.14284925,1.3322728,0.015599052
11,15,3369448845792,52,-400,1.3000001,0.011769524,1.29678,-0.090683416
23,16,3369448848096,332,-466,1.268,0.07318959,1.2616748,-0.10317016
27,17,3369448848096,35772,166,1.3160001,-0.052332032,1.3144017,0.038283147
29,18,3369448850400,332,100,1.276,0.07388511,1.2736645,0.02226927
6,19,3369448850400,35772,-366,1.424,-0.05653475,1.4199597,-0.09107554
19,20,3369448852704,612,-333,1.332,0.14176585,1.3221685,-0.07744118
